Fecha,Atributo,Valor
01/02/1987 00:00,Cabanillas,79.1
01/03/1987 00:00,Cabanillas,54.6
01/04/1987 00:00,Cabanillas,9.7
01/05/1987 00:00,Cabanillas,0
01/06/1987 00:00,Cabanillas,0.9
01/07/1987 00:00,Cabanillas,7.6
01/08/1987 00:00,Cabanillas,1.5
01/09/1987 00:00,Cabanillas,9
01/10/1987 00:00,Cabanillas,27.7
01/11/1987 00:00,Cabanillas,111.6
01/12/1987 00:00,Cabanillas,69.6
01/01/1988 00:00,Cabanillas,273.6
01/02/1988 00:00,Cabanillas,93.2
01/03/1988 00:00,Cabanillas,155.4
01/04/1988 00:00,Cabanillas,67.2
01/05/1988 00:00,Cabanillas,17.4
01/06/1988 00:00,Cabanillas,0
01/07/1988 00:00,Cabanillas,0
01/08/1988 00:00,Cabanillas,0
01/09/1988 00:00,Cabanillas,6.2
01/10/1988 00:00,Cabanillas,56
01/11/1988 00:00,Cabanillas,0
01/12/1988 00:00,Cabanillas,142.8
01/01/1989 00:00,Cabanillas,194.9
01/02/1989 00:00,Cabanillas,57.8
01/03/1989 00:00,Cabanillas,89.6
01/04/1989 00:00,Cabanillas,88.4
01/05/1989 00:00,Cabanillas,0
01/06/1989 00:00,Cabanillas,1.4
01/07/1989 00:00,Cabanillas,0
01/08/1989 00:00,Cabanillas,4.8
01/09/1989 00:00,Cabanillas,6
01/10/1989 00:00,Cabanillas,3.3
01/11/1989 00:00,Cabanillas,40
01/12/1989 00:00,Cabanillas,53.6
01/01/1990 00:00,Cabanillas,172.5
01/02/1990 00:00,Cabanillas,23.4
01/03/1990 00:00,Cabanillas,49.2
01/04/1990 00:00,Cabanillas,13.5
01/05/1990 00:00,Cabanillas,2.4
01/06/1990 00:00,Cabanillas,34.3
01/07/1990 00:00,Cabanillas,0
01/08/1990 00:00,Cabanillas,9.8
01/09/1990 00:00,Cabanillas,1
01/10/1990 00:00,Cabanillas,112.8
01/11/1990 00:00,Cabanillas,130
01/12/1990 00:00,Cabanillas,101.9
01/01/1991 00:00,Cabanillas,106.4
01/02/1991 00:00,Cabanillas,144.1
01/03/1991 00:00,Cabanillas,115.2
01/04/1991 00:00,Cabanillas,70.1
01/05/1991 00:00,Cabanillas,5.8
01/06/1991 00:00,Cabanillas,35.6
01/07/1991 00:00,Cabanillas,0
01/08/1991 00:00,Cabanillas,0
01/09/1991 00:00,Cabanillas,6.3
01/10/1991 00:00,Cabanillas,13.8
01/11/1991 00:00,Cabanillas,27.4
01/12/1991 00:00,Cabanillas,59.6
01/01/1992 00:00,Cabanillas,106.8
01/02/1992 00:00,Cabanillas,75.1
01/03/1992 00:00,Cabanillas,28.5
01/04/1992 00:00,Cabanillas,8.5
01/05/1992 00:00,Cabanillas,0
01/06/1992 00:00,Cabanillas,2.7
01/07/1992 00:00,Cabanillas,2.2
01/08/1992 00:00,Cabanillas,31.1
01/09/1992 00:00,Cabanillas,0
01/10/1992 00:00,Cabanillas,47.5
01/11/1992 00:00,Cabanillas,27.2
01/12/1992 00:00,Cabanillas,64.9
01/01/1993 00:00,Cabanillas,147.2
01/02/1993 00:00,Cabanillas,67.8
01/03/1993 00:00,Cabanillas,96.3
01/04/1993 00:00,Cabanillas,69.5
01/05/1993 00:00,Cabanillas,3
01/06/1993 00:00,Cabanillas,0
01/07/1993 00:00,Cabanillas,0
01/08/1993 00:00,Cabanillas,26.3
01/09/1993 00:00,Cabanillas,9.5
01/10/1993 00:00,Cabanillas,113.4
01/11/1993 00:00,Cabanillas,83
01/12/1993 00:00,Cabanillas,117.4
01/01/1994 00:00,Cabanillas,133.8
01/02/1994 00:00,Cabanillas,105.2
01/03/1994 00:00,Cabanillas,162.1
01/04/1994 00:00,Cabanillas,110.2
01/05/1994 00:00,Cabanillas,0
01/06/1994 00:00,Cabanillas,0
01/07/1994 00:00,Cabanillas,0
01/08/1994 00:00,Cabanillas,0
01/09/1994 00:00,Cabanillas,6.5
01/10/1994 00:00,Cabanillas,14.3
01/11/1994 00:00,Cabanillas,51.2
01/12/1994 00:00,Cabanillas,98
01/01/1995 00:00,Cabanillas,125.8
01/02/1995 00:00,Cabanillas,70.6
01/03/1995 00:00,Cabanillas,100.2
01/04/1995 00:00,Cabanillas,5
01/05/1995 00:00,Cabanillas,0
01/06/1995 00:00,Cabanillas,0
01/07/1995 00:00,Cabanillas,0
01/08/1995 00:00,Cabanillas,0.2
01/09/1995 00:00,Cabanillas,16.6
01/10/1995 00:00,Cabanillas,9.9
01/11/1995 00:00,Cabanillas,32.8
01/12/1995 00:00,Cabanillas,55.3
01/01/1996 00:00,Cabanillas,206.3
01/02/1996 00:00,Cabanillas,102.8
01/03/1996 00:00,Cabanillas,56.4
01/04/1996 00:00,Cabanillas,37.7
01/05/1996 00:00,Cabanillas,1.9
01/06/1996 00:00,Cabanillas,0
01/07/1996 00:00,Cabanillas,2
01/08/1996 00:00,Cabanillas,17.6
01/09/1996 00:00,Cabanillas,10.3
01/10/1996 00:00,Cabanillas,14.3
01/11/1996 00:00,Cabanillas,57.8
01/12/1996 00:00,Cabanillas,165.6
01/01/1997 00:00,Cabanillas,158.5
01/02/1997 00:00,Cabanillas,238.3
01/03/1997 00:00,Cabanillas,160
01/04/1997 00:00,Cabanillas,75.1
01/05/1997 00:00,Cabanillas,3.7
01/06/1997 00:00,Cabanillas,0
01/07/1997 00:00,Cabanillas,0
01/08/1997 00:00,Cabanillas,17.68331288
01/09/1997 00:00,Cabanillas,46.5
01/10/1997 00:00,Cabanillas,38
01/11/1997 00:00,Cabanillas,103.3
01/12/1997 00:00,Cabanillas,88.4
01/01/1998 00:00,Cabanillas,151.8
01/02/1998 00:00,Cabanillas,168.4
01/03/1998 00:00,Cabanillas,110.3
01/04/1998 00:00,Cabanillas,16.9
01/05/1998 00:00,Cabanillas,0
01/06/1998 00:00,Cabanillas,0
01/07/1998 00:00,Cabanillas,0
01/08/1998 00:00,Cabanillas,5.5
01/09/1998 00:00,Cabanillas,0
01/10/1998 00:00,Cabanillas,11.8
01/11/1998 00:00,Cabanillas,12.6
01/12/1998 00:00,Cabanillas,11.1
01/01/1999 00:00,Cabanillas,95
01/02/1999 00:00,Cabanillas,116.9
01/03/1999 00:00,Cabanillas,112.3
01/04/1999 00:00,Cabanillas,104.4
01/05/1999 00:00,Cabanillas,5.4
01/06/1999 00:00,Cabanillas,0
01/07/1999 00:00,Cabanillas,1.8
01/08/1999 00:00,Cabanillas,1.8
01/09/1999 00:00,Cabanillas,21.9
01/10/1999 00:00,Cabanillas,104
01/11/1999 00:00,Cabanillas,3
01/12/1999 00:00,Cabanillas,95.3
01/01/2000 00:00,Cabanillas,134.6
01/02/2000 00:00,Cabanillas,221.9
01/03/2000 00:00,Cabanillas,133.3
01/04/2000 00:00,Cabanillas,31.7
01/05/2000 00:00,Cabanillas,0.6
01/06/2000 00:00,Cabanillas,0
01/07/2000 00:00,Cabanillas,0
01/08/2000 00:00,Cabanillas,6.9
01/09/2000 00:00,Cabanillas,15.8
01/10/2000 00:00,Cabanillas,118.3
01/11/2000 00:00,Cabanillas,13.5
01/12/2000 00:00,Cabanillas,110.4
01/01/2001 00:00,Cabanillas,273.9
01/02/2001 00:00,Cabanillas,224.6
01/03/2001 00:00,Cabanillas,78.2
01/04/2001 00:00,Cabanillas,63.9
01/05/2001 00:00,Cabanillas,11.5
01/06/2001 00:00,Cabanillas,0.8
01/07/2001 00:00,Cabanillas,0.4
01/08/2001 00:00,Cabanillas,16.7
01/09/2001 00:00,Cabanillas,21.6
01/10/2001 00:00,Cabanillas,71.3
01/11/2001 00:00,Cabanillas,36.9
01/12/2001 00:00,Cabanillas,52.6
01/01/2002 00:00,Cabanillas,93.7
01/02/2002 00:00,Cabanillas,166.9
01/03/2002 00:00,Cabanillas,160.5
01/04/2002 00:00,Cabanillas,125.7
01/05/2002 00:00,Cabanillas,28.7
01/06/2002 00:00,Cabanillas,6.2
01/07/2002 00:00,Cabanillas,16
01/08/2002 00:00,Cabanillas,22.9
01/09/2002 00:00,Cabanillas,8.8
01/10/2002 00:00,Cabanillas,116.3
01/11/2002 00:00,Cabanillas,78
01/12/2002 00:00,Cabanillas,105.3
01/01/2003 00:00,Cabanillas,217.2
01/02/2003 00:00,Cabanillas,92.5
01/03/2003 00:00,Cabanillas,116.7
01/04/2003 00:00,Cabanillas,22.1
01/05/2003 00:00,Cabanillas,10.8
01/06/2003 00:00,Cabanillas,2.6
01/07/2003 00:00,Cabanillas,0
01/08/2003 00:00,Cabanillas,0.9
01/09/2003 00:00,Cabanillas,16.9
01/10/2003 00:00,Cabanillas,14
01/11/2003 00:00,Cabanillas,68.1
01/12/2003 00:00,Cabanillas,136.2
01/01/2004 00:00,Cabanillas,193
01/02/2004 00:00,Cabanillas,100.1
01/03/2004 00:00,Cabanillas,81.6
01/04/2004 00:00,Cabanillas,34.2
01/05/2004 00:00,Cabanillas,8.5
01/06/2004 00:00,Cabanillas,0.5
01/07/2004 00:00,Cabanillas,7.7
01/08/2004 00:00,Cabanillas,18.4
01/09/2004 00:00,Cabanillas,12.8
01/10/2004 00:00,Cabanillas,2.9
01/11/2004 00:00,Cabanillas,30.7
01/12/2004 00:00,Cabanillas,58.2
01/01/2005 00:00,Cabanillas,75.3
01/02/2005 00:00,Cabanillas,265.7
01/03/2005 00:00,Cabanillas,84
01/04/2005 00:00,Cabanillas,49.7
01/05/2005 00:00,Cabanillas,0
01/06/2005 00:00,Cabanillas,0
01/07/2005 00:00,Cabanillas,0
01/08/2005 00:00,Cabanillas,0.5
01/09/2005 00:00,Cabanillas,5.8
01/10/2005 00:00,Cabanillas,30.6
01/11/2005 00:00,Cabanillas,70.6
01/12/2005 00:00,Cabanillas,79.9
01/01/2006 00:00,Cabanillas,230.2
01/02/2006 00:00,Cabanillas,107.3
01/03/2006 00:00,Cabanillas,141.3
01/04/2006 00:00,Cabanillas,49.9
01/05/2006 00:00,Cabanillas,0
01/06/2006 00:00,Cabanillas,0.7
01/07/2006 00:00,Cabanillas,0
01/08/2006 00:00,Cabanillas,2.8
01/09/2006 00:00,Cabanillas,44.2
01/10/2006 00:00,Cabanillas,38
01/11/2006 00:00,Cabanillas,60.2
01/12/2006 00:00,Cabanillas,69
01/01/2007 00:00,Cabanillas,68.1
01/02/2007 00:00,Cabanillas,105.4
01/03/2007 00:00,Cabanillas,268.6
01/04/2007 00:00,Cabanillas,67.5
01/05/2007 00:00,Cabanillas,2.4
01/06/2007 00:00,Cabanillas,0
01/07/2007 00:00,Cabanillas,0.8
01/08/2007 00:00,Cabanillas,0
01/09/2007 00:00,Cabanillas,75.4
01/10/2007 00:00,Cabanillas,40.6
01/11/2007 00:00,Cabanillas,97.6
01/12/2007 00:00,Cabanillas,83.9
01/01/2008 00:00,Cabanillas,271.6
01/02/2008 00:00,Cabanillas,74.5
01/03/2008 00:00,Cabanillas,65.1
01/04/2008 00:00,Cabanillas,6.3
01/05/2008 00:00,Cabanillas,0
01/06/2008 00:00,Cabanillas,0.2
01/07/2008 00:00,Cabanillas,0
01/08/2008 00:00,Cabanillas,0.6
01/09/2008 00:00,Cabanillas,1.8
01/10/2008 00:00,Cabanillas,34.9
01/11/2008 00:00,Cabanillas,70.1
01/12/2008 00:00,Cabanillas,153.5
01/01/2009 00:00,Cabanillas,88.8
01/02/2009 00:00,Cabanillas,119.7
01/03/2009 00:00,Cabanillas,111.4
01/04/2009 00:00,Cabanillas,24.6
01/05/2009 00:00,Cabanillas,0
01/06/2009 00:00,Cabanillas,0
01/07/2009 00:00,Cabanillas,1.6
01/08/2009 00:00,Cabanillas,0.5
01/09/2009 00:00,Cabanillas,1.4
01/10/2009 00:00,Cabanillas,28.4
01/11/2009 00:00,Cabanillas,152.8
01/12/2009 00:00,Cabanillas,91.2
01/01/2010 00:00,Cabanillas,150.8
01/02/2010 00:00,Cabanillas,125.3
01/03/2010 00:00,Cabanillas,66.7
01/04/2010 00:00,Cabanillas,28.4
01/05/2010 00:00,Cabanillas,9.6
01/06/2010 00:00,Cabanillas,0
01/07/2010 00:00,Cabanillas,0.5
01/08/2010 00:00,Cabanillas,0
01/09/2010 00:00,Cabanillas,2.4
01/10/2010 00:00,Cabanillas,21.2
01/11/2010 00:00,Cabanillas,35.8
01/12/2010 00:00,Cabanillas,183
01/01/2011 00:00,Cabanillas,80
01/02/2011 00:00,Cabanillas,182.5
01/03/2011 00:00,Cabanillas,134
01/04/2011 00:00,Cabanillas,41.3
01/05/2011 00:00,Cabanillas,1.7
01/06/2011 00:00,Cabanillas,0
01/07/2011 00:00,Cabanillas,5.1
01/08/2011 00:00,Cabanillas,4.3
01/09/2011 00:00,Cabanillas,32.1
01/10/2011 00:00,Cabanillas,29.8
01/11/2011 00:00,Cabanillas,76.2
01/12/2011 00:00,Cabanillas,215.3750953
01/01/2012 00:00,Cabanillas,165.2
01/02/2012 00:00,Cabanillas,216.1
01/03/2012 00:00,Cabanillas,165
01/04/2012 00:00,Cabanillas,49.8
01/05/2012 00:00,Cabanillas,0
01/06/2012 00:00,Cabanillas,0
01/07/2012 00:00,Cabanillas,0
01/08/2012 00:00,Cabanillas,2.9
01/09/2012 00:00,Cabanillas,3.2
01/10/2012 00:00,Cabanillas,16
01/11/2012 00:00,Cabanillas,46.5
01/12/2012 00:00,Cabanillas,190.5
01/01/2013 00:00,Cabanillas,180.2
01/02/2013 00:00,Cabanillas,170.5
01/03/2013 00:00,Cabanillas,53
01/04/2013 00:00,Cabanillas,10.7
01/05/2013 00:00,Cabanillas,7.6
01/06/2013 00:00,Cabanillas,9
01/07/2013 00:00,Cabanillas,7.9
01/08/2013 00:00,Cabanillas,5
01/09/2013 00:00,Cabanillas,8
01/10/2013 00:00,Cabanillas,50.1
01/11/2013 00:00,Cabanillas,52.1
01/12/2013 00:00,Cabanillas,137.2
01/01/2014 00:00,Cabanillas,155.6
01/02/2014 00:00,Cabanillas,65
01/03/2014 00:00,Cabanillas,53.4
01/04/2014 00:00,Cabanillas,43.8
01/05/2014 00:00,Cabanillas,0
01/06/2014 00:00,Cabanillas,0
01/07/2014 00:00,Cabanillas,2.6
01/08/2014 00:00,Cabanillas,36
01/09/2014 00:00,Cabanillas,30.2
01/10/2014 00:00,Cabanillas,94.2
01/11/2014 00:00,Cabanillas,42.1
01/12/2014 00:00,Cabanillas,134.6
01/01/2015 00:00,Cabanillas,110.2
01/02/2015 00:00,Cabanillas,105.1
01/03/2015 00:00,Cabanillas,72.4
01/04/2015 00:00,Cabanillas,181.6
01/05/2015 00:00,Cabanillas,3.51830311
01/06/2015 00:00,Cabanillas,1.141650807
01/07/2015 00:00,Cabanillas,3.7
01/08/2015 00:00,Cabanillas,3.7
01/09/2015 00:00,Cabanillas,37
01/10/2015 00:00,Cabanillas,48
01/11/2015 00:00,Cabanillas,87.8
01/12/2015 00:00,Cabanillas,108.8
01/01/2016 00:00,Cabanillas,54.3
01/02/2016 00:00,Cabanillas,213.5
01/03/2016 00:00,Cabanillas,24.2
01/04/2016 00:00,Cabanillas,105.1
01/05/2016 00:00,Cabanillas,0.6
01/06/2016 00:00,Cabanillas,3.5
01/07/2016 00:00,Cabanillas,4.6
01/08/2016 00:00,Cabanillas,0
01/09/2016 00:00,Cabanillas,3.3
01/10/2016 00:00,Cabanillas,50.3
01/11/2016 00:00,Cabanillas,4.9
01/12/2016 00:00,Cabanillas,42.98491203
01/01/2017 00:00,Cabanillas,135.2
01/02/2017 00:00,Cabanillas,105.4
01/03/2017 00:00,Cabanillas,125.9
01/04/2017 00:00,Cabanillas,40.3
01/05/2017 00:00,Cabanillas,12.8
01/06/2017 00:00,Cabanillas,3
01/07/2017 00:00,Cabanillas,3
01/08/2017 00:00,Cabanillas,0
01/09/2017 00:00,Cabanillas,43.9
01/10/2017 00:00,Cabanillas,68.5
01/11/2017 00:00,Cabanillas,79.2
01/12/2017 00:00,Cabanillas,143.8
01/01/2018 00:00,Cabanillas,157
